id,price,is_recent_review,neighbourhood_cleansed,review_scores_rating
26,115.058823529,,West Whittier-Los Nietos,4.805
10,171.7,,Lake Hughes,4.924285714
24,279.578947368,,Sierra Madre,4.891904762
54,127.075,,West Carson,4.817045455
50,144.697674419,,Leimert Park,4.540277778
93,153.948275862,,Walnut,4.717230769
13,113.222222222,,Harvard Park,4.645454545
8,109.666666667,,Hawaiian Gardens,4.78
19,392.277777778,,Agua Dulce,4.766875
84,2860.552238806,,Bel-Air,4.870526316
2,285.5,,Angeles Crest,4.9
39,161.806451613,,Lomita,4.8325
19,96.4375,,Vincent,4.748
111,240.285714286,,Baldwin Hills/Crenshaw,4.718846154
52,105.367346939,,La Verne,4.883125
2,249,,Elizabeth Lake,4.78
5,287.8,,Sepulveda Basin,4.813333333
151,143.611650485,,Temple City,4.701171171
126,173.463636364,,Winnetka,4.835882353
14,178.5,,Santa Fe Springs,4.813636364
81,142.745762712,,Montecito Heights,4.837323944
10,179.875,,Sunland,4.892
114,604.432098765,,Pacific Palisades,4.865606061
451,163.561194030,,Sawtelle,4.709928826
71,89.657894737,,University Park,4.5728125
384,106.619469027,,Lancaster,4.821414474
124,659.264705882,,Rancho Palos Verdes,4.843780488
700,436.674336283,1,Pasadena,4.840297203
158,279.504065041,,Valley Village,4.851981982
84,178.602941176,,Claremont,4.874246575
11,125,,Green Meadows,4.67
7,99,,Lake Los Angeles,4.9
6,189.2,,Lopez/Kagel Canyons,4.955
221,177.689189189,,Highland Park,4.877877095
395,237.080139373,,Westwood,4.793902439
5,314.2,,Ridge Route,4.966
4,158,,Val Verde,4.8425
168,186.737931034,,San Pedro,4.854015152
14,125,,Acton,4.928181818
18,323.235294118,,Castaic,4.856428571
14,323.285714286,,Hidden Hills,4.823333333
97,108.194444444,,Boyle Heights,4.718611111
53,183.558139535,,South Whittier,4.862444444
66,75.338983051,,Adams-Normandie,4.649655172
10,71.5,,Arleta,4.891666667
119,185.420454545,,El Segundo,4.766336634
36,206.413793103,,Century City,4.919545455
244,251.434782609,1,Valley Glen,4.843470588
47,352.2,,Universal City,4.696
50,106.214285714,,Vermont Vista,4.492307692
5,159.6,,Chatsworth Reservoir,4.905
13,126.5,,West Compton,4.646666667
146,136.396551724,,Carson,4.712970297
111,227.471264368,,Playa Vista,4.851754386
28,148.545454545,,North El Monte,4.764583333
26,162.380952381,,Tujunga,4.886875
175,625.533783784,,Unincorporated Santa Monica Mountains,4.930326797
36,365,,Southeast Antelope Valley,4.798
44,150.35,,Willowbrook,4.718857143
22,163.272727273,,Northwest Palmdale,4.798235294
100,215.617977528,,Carthay,4.801066667
327,462.173144876,,El Monte,4.739854015
162,183.541353383,,West Los Angeles,4.756554622
125,240.350515464,,Atwater Village,4.888454545
23,138.588235294,,Huntington Park,4.613125
77,207.358490566,,Larchmont,4.807916667
8,106.333333333,,Griffith Park,4.798571429
52,143.225806452,,Lincoln Heights,4.835263158
17,122.3,,Chesterfield Square,4.707692308
644,190.664705882,1,Culver City,4.824897959
14,106.416666667,,Elysian Park,4.846923077
19,142.111111111,,Industry,4.894666667
299,193.383838384,,Westchester,4.772712766
91,126.389610390,,El Sereno,4.910447761
536,173.347087379,1,Mid-Wilshire,4.814090909
1224,202.615464995,1,Downtown,4.733896648
582,435.538302277,,Beverly Grove,4.742298137
73,118.650793651,,Harbor Gateway,4.879423077
436,59.014423077,,Exposition Park,4.572231405
368,499.843003413,,Studio City,4.833007519
25,163.166666667,,Northeast Antelope Valley,4.882105263
133,213.84,,Diamond Bar,4.74775
17,123.75,,Wilmington,4.845555556
24,383.066666667,,Beverlywood,4.762857143
69,200.836363636,,Compton,4.720588235
54,110.234042553,,La Puente,4.851458333
15,209.4,,La Habra Heights,4.920909091
110,161.494623656,,Sun Valley,4.779384615
25,145.65,,Paramount,4.82
81,160.612903226,,Del Aire,4.886164384
1771,182.915734526,,Hollywood,4.701771117
97,196.263157895,,South Pasadena,4.816867470
24,96.8,,Avocado Heights,4.583684211
136,128.117647059,,Gardena,4.794953271
1081,789.418161435,,Beverly Hills,4.669697885
230,130.339080460,,San Gabriel,4.764480874
28,736.590909091,,Palos Verdes Estates,4.640769231
705,154.370617696,,Alhambra,4.743333333
114,136.855555556,2,Lawndale,4.820097087
319,155.670833333,,Hawthorne,4.777773585
89,167.578125,,Glassell Park,4.843552632
120,182.747663551,,Glendora,4.841473684
1270,243.332701422,,Santa Monica,4.788630832
16,42.583333333,,Watts,4.435
48,148.605263158,,Sylmar,4.783243243
28,342.521739130,,Unincorporated Santa Susana Mountains,4.936923077
138,261.866666667,,Altadena,4.853153153
360,139.192567568,,Hacienda Heights,4.698931034
160,190.035398230,,Eagle Rock,4.895153846
6,214.8,,Rolling Hills,4.904
223,519.69375,,Brentwood,4.81104
506,400.026881720,2,Sherman Oaks,4.833254438
595,145.987922705,,Westlake,4.632297297
10,668.8,,Unincorporated Catalina Island,4.707777778
42,121.088235294,,Duarte,4.81
28,108.444444444,,Bell,4.9225
15,139.666666667,,San Pasqual,4.813076923
1,113,,Walnut Park,4.7
23,273.153846154,,Cheviot Hills,4.911176471
358,170.852348993,,Monterey Park,4.732310606
149,181.539130435,,Whittier,4.835078125
127,312.339805825,,Calabasas,4.843625
79,132.898550725,,East Pasadena,4.817183099
18,165.625,,Mission Hills,4.098181818
106,202.084507042,,Mount Washington,4.920689655
1864,192.166878981,1,Long Beach,4.822429230
544,132.004987531,,Koreatown,4.597014388
190,120.099378882,,Pomona,4.808550725
72,186.261538462,,Mayflower Village,4.672033898
135,113.489583333,,East San Gabriel,4.799243697
21,226.125,,San Marino,4.764285714
32,146.40625,,San Fernando,4.568076923
26,114.523809524,,South San Jose Hills,4.754230769
376,305.948717949,,Topanga,4.884615385
131,116.061855670,,Rosemead,4.727142857
42,262.735294118,,Veterans Administration,4.624074074
165,126.705479452,,Pico-Union,4.5134
36,130.851851852,,Vermont Knolls,4.7732
44,157.823529412,,San Dimas,4.796666667
496,212.938172043,1,Silver Lake,4.881462830
535,390.682608696,,Woodland Hills,4.824231884
38,102.277777778,,Quartz Hill,4.842580645
89,154.987654321,,North Hills,4.812419355
41,115.612903226,,Panorama City,4.830769231
115,141.801980198,,Azusa,4.819895833
41,132.363636364,,South Gate,4.793714286
71,240.830508475,,Granada Hills,4.855094340
54,152.194444444,,Montebello,4.701063830
498,125.949425287,,East Los Angeles,4.602454545
46,261.514285714,,Castaic Canyons,4.8788
10,162.777777778,,Desert View Highlands,4.862857143
219,170.062893082,,Van Nuys,4.847241379
50,300.295454545,,Agoura Hills,4.844146341
76,258.136363636,,Ladera Heights,4.812222222
341,324.940972222,,Marina del Rey,4.691535433
230,438.388888889,,Encino,4.824130435
286,183.101522843,,Pico-Robertson,4.719767442
35,133.828571429,,Harbor City,4.355
16,162.571428571,,Florence,4.154
15,101.444444444,,Charter Oak,4.832142857
162,140.8203125,,Vermont Square,4.771228070
225,125.343283582,1,Palmdale,4.779426752
119,184.809090909,,Lake Balboa,4.874
242,190.893203883,,West Covina,4.7253125
197,155.382352941,,Reseda,4.870909091
29,157.44,,Cerritos,4.833636364
282,133.210526316,,Palms,4.775960591
38,213.5,,Gramercy Park,4.755862069
8,99.375,,Irwindale,4.86
48,163.46875,,Signal Hill,4.874390244
17,152.384615385,,Athens,4.856
16,295.214285714,,Bell Gardens,4.845555556
38,96.46875,,Florence-Firestone,4.642857143
156,148.632,,Downey,4.782644628
5,255.75,,North Whittier,4.8375
755,204.749163880,,Glendale,4.792162162
104,139.465909091,,Covina,4.821931818
31,82.2,,Vermont-Slauson,4.805909091
95,110.810126582,,Norwalk,4.826363636
14,124.636363636,,Northwest Antelope Valley,4.837777778
299,267.967741935,,Los Feliz,4.872870370
475,233.151761518,,Redondo Beach,4.806666667
26,153.3,,Windsor Square,4.7975
94,135.545454545,,Canoga Park,4.845517241
49,97.825,,South El Monte,4.767948718
180,190.848484848,,Arcadia,4.830610687
175,248.135135135,,West Hills,4.832393162
5,52,,Sun Village,4.7675
509,178.688249400,,Mid-City,4.750529248
4,140.666666667,,Cudahy,4.635
756,382.398387097,1,Hollywood Hills,4.810277264
208,153.405063291,,Hyde Park,4.731858974
215,230.215053763,,View Park-Windsor Hills,4.771355932
48,140.307692308,,La Mirada,4.720285714
19,272.0625,,Commerce,4.877058824
413,1683.764705882,,Malibu,4.864158076
4,111,,Hasley Canyon,4.91
6,331.4,,Lake View Terrace,4.95
23,98.6,,Artesia,4.804
126,110.873873874,,Baldwin Park,4.808070175
19,107.5,,Cypress Park,4.831538462
386,166.687943262,,Torrance,4.762804054
7,207.833333333,,East Whittier,4.768571429
46,149.628571429,,Rancho Park,4.898823529
609,238.509164969,,Burbank,4.858893360
333,153.188405797,,East Hollywood,4.710187793
78,174.030303030,,Bellflower,4.811071429
5,94.5,,Green Valley,4.8425
223,504.579185520,1,Avalon,4.679666667
85,152.059701493,,Harvard Heights,4.6615
41,141.25,,Lynwood,4.718333333
1192,329.013847676,,West Hollywood,4.769141104
1,,,South Diamond Bar,
374,190.140221402,,Echo Park,4.844163701
12,386.545454545,,Westlake Village,4.978888889
351,203.045454545,,Santa Clarita,4.815807692
121,291.684931507,,Playa del Rey,4.842467532
482,173.950131234,,North Hollywood,4.815294118
32,232.782608696,,Porter Ranch,4.896666667
48,148.666666667,,Manchester Square,4.85875
16,289.846153846,,Stevenson Ranch,4.9
105,161.279069767,,Jefferson Park,4.816410256
1533,320.158886894,1,Venice,4.825406977
98,276.256756757,,Hancock Park,4.821311475
55,122.731707317,,Pico Rivera,4.871153846
197,552.198795181,,Tarzana,4.828070175
18,353.928571429,,Rolling Hills Estates,4.963333333
90,92.884615385,,South San Gabriel,4.658607595
74,150.859649123,,Lakewood,4.799491525
46,393.363636364,,La Canada Flintridge,4.938181818
305,210.153488372,,Mar Vista,4.807051282
169,227.823943662,,Northridge,4.828596491
155,170.096,,West Adams,4.829230769
280,197.211009174,,Del Rey,4.817311828
94,259.064935065,,Chatsworth,4.886338028
14,119.272727273,,West Puente Valley,4.83
22,158.736842105,,Alondra Park,4.908
89,181.8,,Westmont,4.759452055
71,229.271186441,,Toluca Lake,4.827857143
81,135.267605634,,Lennox,4.790588235
4,236,,Rancho Dominguez,4.963333333
198,155.224852071,,Monrovia,4.802690058
22,87.285714286,,Broadway-Manchester,4.548888889
55,107.588235294,,Historic South-Central,4.685882353
319,489.541125541,,Fairfax,4.748194444
20,67.125,,South Park,4.4
167,178.518987342,,Vernon,4.756158940
225,1489.367346939,,Beverly Crest,4.865849057
30,192.1,,Elysian Valley,4.906842105
21,112.111111111,,Pacoima,4.779285714
61,207.361111111,,Chinatown,4.806296296
5,1771,,Citrus,4.632
11,82.5,,Maywood,4.43
667,1147.663778163,1,Hollywood Hills West,4.851963824
301,353.88671875,,Hermosa Beach,4.853114035
45,286.485714286,,La Crescenta-Montrose,4.937105263
45,126.309523810,,Valinda,4.670952381
17,313.5,,Tujunga Canyons,4.61625
585,150.830188679,,Rowland Heights,4.701138716
2,144.5,,East Compton,4.405
28,72.75,,Central-Alameda,4.938333333
37,181.966666667,,Shadow Hills,4.851904762
429,475.197260274,,Manhattan Beach,4.888643533
458,163.232375979,1,Inglewood,4.823295455
11,167.7,,Leona Valley,4.763636364
96,120.743589744,,Arlington Heights,4.794342105
